trap_name,DN,area
A_SP_CdE_2,"20",8.088
A_SP_CdE_2,"19",100.000
A_SP_CdE_2,"10",1700.000
A_SP_CdE_2,"14",1900.000
A_SP_CdE_2,"17",3320.678
A_SP_CdE_2,"19",2800.000
A_SP_CdE_2,"20",300.000
A_SP_CdE_2,"7",3200.000
A_SP_CdE_2,"10",2200.000
A_SP_CdE_2,"17",94.614
A_SP_CdE_2,"5",2400.000
A_SP_CdE_2,"17",800.000
A_SP_CdE_2,"24",900.000
A_SP_CdE_2,"17",300.000
A_SP_CdE_2,"19",86573.342
A_SP_CdE_2,"20",86538.899
A_SP_CdE_3,"20",199.733
A_SP_CdE_3,"20",1529.093
A_SP_CdE_3,"20",121.269
A_SP_CdE_3,"20",19200.000
A_SP_CdE_3,"19",30047.515
A_SP_CdE_3,"5",2400.000
A_SP_CdE_3,"7",500.000
A_SP_CdE_3,"20",100.000
A_SP_CdE_3,"20",100.000
A_SP_CdE_3,"19",1500.000
A_SP_CdE_3,"19",96.064
A_SP_CdE_3,"19",9.270
A_SP_CdE_3,"19",10857.435
A_SP_CdE_3,"19",29313.999
A_SP_CdE_3,"20",97161.242
A_SP_CdE_4,"14",1100.000
A_SP_CdE_4,"5",500.000
A_SP_CdE_4,"19",100.000
A_SP_CdE_4,"15",1700.000
A_SP_CdE_4,"9",1300.000
A_SP_CdE_4,"5",3000.000
A_SP_CdE_4,"20",100.000
A_SP_CdE_4,"19",100.000
A_SP_CdE_4,"20",100.000
A_SP_CdE_4,"20",100.000
A_SP_CdE_4,"10",1100.000
A_SP_CdE_4,"2",4700.000
A_SP_CdE_4,"7",9400.000
A_SP_CdE_4,"9",2800.000
A_SP_CdE_4,"5",1300.000
A_SP_CdE_4,"19",3803.023
A_SP_CdE_4,"19",15900.000
A_SP_CdE_4,"20",200.000
A_SP_CdE_4,"19",2090.595
A_SP_CdE_4,"21",9034.036
A_SP_CdE_4,"20",134707.967
A_SP_CdE_5,"19",11500.142
A_SP_CdE_5,"19",100.000
A_SP_CdE_5,"19",12322.197
A_SP_CdE_5,"7",1600.000
A_SP_CdE_5,"5",68819.292
A_SP_CdE_5,"20",98591.390
A_SP_CdE_5,"5",202.601
A_SP_CdE_6,"15",255.461
A_SP_CdE_6,"15",85.342
A_SP_CdE_6,"10",1037.370
A_SP_CdE_6,"10",200.000
A_SP_CdE_6,"10",25.982
A_SP_CdE_6,"15",2876.598
A_SP_CdE_6,"14",122.085
A_SP_CdE_6,"15",1100.000
A_SP_CdE_6,"10",253.176
A_SP_CdE_6,"10",122.085
A_SP_CdE_6,"15",1100.000
A_SP_CdE_6,"10",253.176
A_SP_CdE_6,"15",2.881
A_SP_CdE_6,"15",91.207
A_SP_CdE_6,"14",3972.257
A_SP_CdE_6,"15",2600.000
A_SP_CdE_6,"20",3200.000
A_SP_CdE_6,"20",4772.177
A_SP_CdE_6,"16",2600.000
A_SP_CdE_6,"20",397.486
A_SP_CdE_6,"9",900.000
A_SP_CdE_6,"14",163.215
A_SP_CdE_6,"20",45991.048
A_SP_CdE_6,"10",121014.077
A_SP_CdE_7,"14",97.228
A_SP_CdE_7,"2",12738.669
A_SP_CdE_7,"17",100.000
A_SP_CdE_7,"14",98.550
A_SP_CdE_7,"17",1502.150
A_SP_CdE_7,"17",200.000
A_SP_CdE_7,"17",100.000
A_SP_CdE_7,"17",100.000
A_SP_CdE_7,"17",23738.017
A_SP_CdE_7,"15",900.000
A_SP_CdE_7,"17",1010.506
A_SP_CdE_7,"10",138710.231
A_SP_CdE_7,"20",13840.270
A_SP_CE_0,"4",179.294
A_SP_CE_0,"20",580.289
A_SP_CE_0,"4",572.559
A_SP_CE_0,"5",100.000
A_SP_CE_0,"23",100.000
A_SP_CE_0,"17",100.000
A_SP_CE_0,"5",100.000
A_SP_CE_0,"6",11054.893
A_SP_CE_0,"19",985.365
A_SP_CE_0,"23",1680.177
A_SP_CE_0,"7",500.000
A_SP_CE_0,"9",199.821
A_SP_CE_0,"17",200.000
A_SP_CE_0,"5",0.073
A_SP_CE_0,"5",100.000
A_SP_CE_0,"17",300.000
A_SP_CE_0,"20",986.156
A_SP_CE_0,"23",1400.000
A_SP_CE_0,"5",100.000
A_SP_CE_0,"7",1369.030
A_SP_CE_0,"5",11213.005
A_SP_CE_0,"5",20109.876
A_SP_CE_0,"9",2400.000
A_SP_CE_0,"9",851.494
A_SP_CE_0,"7",0.439
A_SP_CE_0,"15",100.000
A_SP_CE_0,"15",1900.000
A_SP_CE_0,"17",500.000
A_SP_CE_0,"5",714.577
A_SP_CE_0,"17",14010.727
A_SP_CE_0,"19",1276.831
A_SP_CE_0,"14",1598.100
A_SP_CE_0,"17",1600.000
A_SP_CE_0,"5",9385.227
A_SP_CE_0,"15",15393.048
A_SP_CE_0,"6",232.378
A_SP_CE_0,"6",77965.121
A_SP_CE_0,"19",7458.956
A_SP_CE_0,"5",5818.184
A_SP_DA_1,"14",469.067
A_SP_DA_1,"14",23.898
A_SP_DA_1,"16",100.000
A_SP_DA_1,"14",191.269
A_SP_DA_1,"15",4481.536
A_SP_DA_1,"17",400.000
A_SP_DA_1,"14",200.000
A_SP_DA_1,"14",100.000
A_SP_DA_1,"14",100.000
A_SP_DA_1,"14",4800.000
A_SP_DA_1,"14",100.000
A_SP_DA_1,"14",394.701
A_SP_DA_1,"14",5.378
A_SP_DA_1,"16",100.000
A_SP_DA_1,"14",100.000
A_SP_DA_1,"14",5600.000
A_SP_DA_1,"14",100.000
A_SP_DA_1,"17",1600.000
A_SP_DA_1,"16",100.000
A_SP_DA_1,"15",200.000
A_SP_DA_1,"16",100.000
A_SP_DA_1,"14",11926.646
A_SP_DA_1,"5",17700.000
A_SP_DA_1,"15",1600.000
A_SP_DA_1,"16",200.000
A_SP_DA_1,"15",200.000
A_SP_DA_1,"14",900.000
A_SP_DA_1,"14",100.000
A_SP_DA_1,"15",100.000
A_SP_DA_1,"15",100.000
A_SP_DA_1,"14",100.000
A_SP_DA_1,"15",131.861
A_SP_DA_1,"15",200.000
A_SP_DA_1,"7",100.000
A_SP_DA_1,"7",100.000
A_SP_DA_1,"14",3400.000
A_SP_DA_1,"14",2000.000
A_SP_DA_1,"15",2469.931
A_SP_DA_1,"16",2913.173
A_SP_DA_1,"14",200.000
A_SP_DA_1,"19",100.000
A_SP_DA_1,"4",100.000
A_SP_DA_1,"19",9300.000
A_SP_DA_1,"5",300.000
A_SP_DA_1,"4",400.000
A_SP_DA_1,"15",4529.752
A_SP_DA_1,"14",200.000
A_SP_DA_1,"19",200.000
A_SP_DA_1,"4",190.750
A_SP_DA_1,"14",68.395
A_SP_DA_1,"19",686.376
A_SP_DA_1,"5",300.000
A_SP_DA_1,"15",1736.471
A_SP_DA_1,"14",6432.435
A_SP_DA_1,"16",54409.323
A_SP_DA_1,"5",11355.373
A_SP_DA_1,"6",39119.286
A_SP_RI_1,"20",192.188
A_SP_RI_1,"7",494.315
A_SP_RI_1,"7",604.685
A_SP_RI_1,"6",200.000
A_SP_RI_1,"24",500.000
A_SP_RI_1,"24",7042.882
A_SP_RI_1,"20",1600.000
A_SP_RI_1,"19",10.498
A_SP_RI_1,"5",4000.000
A_SP_RI_1,"5",500.000
A_SP_RI_1,"7",1315.226
A_SP_RI_1,"7",4100.000
A_SP_RI_1,"5",100.000
A_SP_RI_1,"19",5818.413
A_SP_RI_1,"20",100.000
A_SP_RI_1,"19",100.000
A_SP_RI_1,"19",300.000
A_SP_RI_1,"6",900.000
A_SP_RI_1,"20",4786.956
A_SP_RI_1,"20",100.000
A_SP_RI_1,"5",24600.000
A_SP_RI_1,"7",5200.000
A_SP_RI_1,"7",1448.601
A_SP_RI_1,"5",100.000
A_SP_RI_1,"20",100.000
A_SP_RI_1,"5",1100.000
A_SP_RI_1,"20",100.000
A_SP_RI_1,"6",45177.623
A_SP_RI_1,"7",175.802
A_SP_RI_1,"19",1000.000
A_SP_RI_1,"7",300.000
A_SP_RI_1,"7",26.771
A_SP_RI_1,"7",9163.766
A_SP_RI_1,"19",3868.094
A_SP_RI_1,"24",7.292
A_SP_RI_1,"20",68002.510
A_SP_RO_1,"14",2.005
A_SP_RO_1,"19",16774.560
A_SP_RO_1,"15",4382.914
A_SP_RO_1,"15",100.000
A_SP_RO_1,"15",400.000
A_SP_RO_1,"14",100.000
A_SP_RO_1,"15",600.000
A_SP_RO_1,"14",1279.419
A_SP_RO_1,"15",300.000
A_SP_RO_1,"14",100.000
A_SP_RO_1,"14",300.000
A_SP_RO_1,"11",1000.000
A_SP_RO_1,"14",590.455
A_SP_RO_1,"20",2000.000
A_SP_RO_1,"14",5800.039
A_SP_RO_1,"14",100.000
A_SP_RO_1,"6",4500.000
A_SP_RO_1,"5",4000.000
A_SP_RO_1,"14",400.000
A_SP_RO_1,"14",100.000
A_SP_RO_1,"19",1400.000
A_SP_RO_1,"14",700.000
A_SP_RO_1,"4",3786.814
A_SP_RO_1,"14",26200.000
A_SP_RO_1,"20",1300.000
A_SP_RO_1,"14",100.000
A_SP_RO_1,"6",2500.000
A_SP_RO_1,"20",871.328
A_SP_RO_1,"14",6800.000
A_SP_RO_1,"15",754.321
A_SP_RO_1,"14",100.000
A_SP_RO_1,"5",100.000
A_SP_RO_1,"20",1779.626
A_SP_RO_1,"14",500.000
A_SP_RO_1,"14",900.000
A_SP_RO_1,"15",1025.000
A_SP_RO_1,"14",100.000
A_SP_RO_1,"5",56996.392
A_SP_RO_1,"19",21533.847
A_SP_RO_1,"20",5952.699
A_SP_RO_1,"20",8811.820
A_SP_RO_1,"5",3030.162
A_SP_RO_1,"15",1898.656
A_SP_RO_1,"4",3165.565
A_SP_TM_1,"6",6213.915
A_SP_TM_1,"4",305.719
A_SP_TM_1,"11",1200.000
A_SP_TM_1,"20",4200.000
A_SP_TM_1,"6",8900.000
A_SP_TM_1,"5",20520.789
A_SP_TM_1,"9",3600.000
A_SP_TM_1,"6",11400.000
A_SP_TM_1,"5",1800.000
A_SP_TM_1,"9",200.000
A_SP_TM_1,"9",1200.000
A_SP_TM_1,"20",12306.506
A_SP_TM_1,"20",5500.000
A_SP_TM_1,"19",4600.000
A_SP_TM_1,"6",291.864
A_SP_TM_1,"6",300.000
A_SP_TM_1,"6",100.000
A_SP_TM_1,"5",59.506
A_SP_TM_1,"6",79.129
A_SP_TM_1,"6",26050.947
A_SP_TM_1,"4",10767.605
A_SP_TM_1,"6",7955.693
A_SP_TM_1,"5",65583.947
A_SP_VJ_1,"22",13998.357
A_SP_VJ_1,"5",1385.172
A_SP_VJ_1,"5",1438.612
A_SP_VJ_1,"14",100.000
A_SP_VJ_1,"5",100.000
A_SP_VJ_1,"14",100.000
A_SP_VJ_1,"7",98.857
A_SP_VJ_1,"4",3742.020
A_SP_VJ_1,"14",200.000
A_SP_VJ_1,"14",100.000
A_SP_VJ_1,"14",100.000
A_SP_VJ_1,"5",53.317
A_SP_VJ_1,"14",200.000
A_SP_VJ_1,"4",900.000
A_SP_VJ_1,"5",200.000
A_SP_VJ_1,"14",100.000
A_SP_VJ_1,"5",3000.000
A_SP_VJ_1,"7",1396.875
A_SP_VJ_1,"4",400.000
A_SP_VJ_1,"14",200.000
A_SP_VJ_1,"4",600.000
A_SP_VJ_1,"4",158.776
A_SP_VJ_1,"22",25600.000
A_SP_VJ_1,"5",100.000
A_SP_VJ_1,"14",100.000
A_SP_VJ_1,"5",100.000
A_SP_VJ_1,"5",100.000
A_SP_VJ_1,"5",100.000
A_SP_VJ_1,"15",1400.000
A_SP_VJ_1,"14",9200.000
A_SP_VJ_1,"5",200.000
A_SP_VJ_1,"5",100.000
A_SP_VJ_1,"6",200.000
A_SP_VJ_1,"5",350.546
A_SP_VJ_1,"5",200.000
A_SP_VJ_1,"5",500.000
A_SP_VJ_1,"5",3300.000
A_SP_VJ_1,"5",1400.000
A_SP_VJ_1,"5",4958.132
A_SP_VJ_1,"5",100.000
A_SP_VJ_1,"7",400.000
A_SP_VJ_1,"5",100.000
A_SP_VJ_1,"5",300.000
A_SP_VJ_1,"5",1000.000
A_SP_VJ_1,"5",100.000
A_SP_VJ_1,"7",6400.000
A_SP_VJ_1,"14",4880.124
A_SP_VJ_1,"5",2866.178
A_SP_VJ_1,"5",225.397
A_SP_VJ_1,"5",3671.638
A_SP_VJ_1,"6",77222.002
A_SP_VJ_1,"14",19389.618
A_SP_SMF_1,"15",1867.216
A_SP_SMF_1,"14",1100.000
A_SP_SMF_1,"20",795.581
A_SP_SMF_1,"19",100.000
A_SP_SMF_1,"24",4300.000
A_SP_SMF_1,"14",2936.978
A_SP_SMF_1,"5",63668.301
A_SP_SMF_1,"14",800.000
A_SP_SMF_1,"7",1500.000
A_SP_SMF_1,"24",700.000
A_SP_SMF_1,"19",400.000
A_SP_SMF_1,"6",100.000
A_SP_SMF_1,"5",200.000
A_SP_SMF_1,"9",1100.000
A_SP_SMF_1,"6",3000.000
A_SP_SMF_1,"20",3834.126
A_SP_SMF_1,"19",2700.000
A_SP_SMF_1,"7",3600.000
A_SP_SMF_1,"5",200.000
A_SP_SMF_1,"5",100.000
A_SP_SMF_1,"5",100.000
A_SP_SMF_1,"5",200.000
A_SP_SMF_1,"5",200.000
A_SP_SMF_1,"5",200.000
A_SP_SMF_1,"7",100.000
A_SP_SMF_1,"5",100.000
A_SP_SMF_1,"9",100.000
A_SP_SMF_1,"5",100.000
A_SP_SMF_1,"5",100.000
A_SP_SMF_1,"20",204.711
A_SP_SMF_1,"6",4700.000
A_SP_SMF_1,"9",1700.000
A_SP_SMF_1,"15",2200.000
A_SP_SMF_1,"7",1220.606
A_SP_SMF_1,"5",14800.000
A_SP_SMF_1,"7",1755.113
A_SP_SMF_1,"20",1400.000
A_SP_SMF_1,"15",500.000
A_SP_SMF_1,"16",25.155
A_SP_SMF_1,"9",71.559
A_SP_SMF_1,"16",2368.072
A_SP_SMF_1,"20",3716.523
A_SP_SMF_1,"19",9.378
A_SP_SMF_1,"14",168.287
A_SP_SMF_1,"6",35716.608
A_SP_SMF_1,"14",185.284
A_SP_SMF_1,"19",11142.036
A_SP_SMF_1,"15",640.414
A_SP_SMF_1,"19",11583.592
A_SP_SMF_1,"4",4826.085
A_SP_CdE_8,"19",100.000
A_SP_CdE_8,"20",100.000
A_SP_CdE_8,"19",1200.000
A_SP_CdE_8,"20",100.000
A_SP_CdE_8,"5",100.000
A_SP_CdE_8,"19",2500.000
A_SP_CdE_8,"20",100.000
A_SP_CdE_8,"5",17300.000
A_SP_CdE_8,"20",200.000
A_SP_CdE_8,"20",100.000
A_SP_CdE_8,"20",4395.125
A_SP_CdE_8,"19",31427.721
A_SP_CdE_8,"21",85671.174
A_SP_CdE_8,"20",49841.602
A_SP_CdE_9,"20",99.982
A_SP_CdE_9,"19",691.425
A_SP_CdE_9,"20",100.000
A_SP_CdE_9,"5",100.000
A_SP_CdE_9,"19",1201.777
A_SP_CdE_9,"5",15061.225
A_SP_CdE_9,"20",200.000
A_SP_CdE_9,"20",100.000
A_SP_CdE_9,"20",700.000
A_SP_CdE_9,"20",200.000
A_SP_CdE_9,"20",5500.000
A_SP_CdE_9,"19",76543.110
A_SP_CdE_9,"21",69783.175
A_SP_CdE_9,"20",22854.926
A_SP_CdE_10,"15",1673.419
A_SP_CdE_10,"21",99554.014
A_SP_CdE_10,"21",819.020
A_SP_CdE_10,"20",91089.169
A_SP_CdE_11,"20",1400.000
A_SP_CdE_11,"15",2307.793
A_SP_CdE_11,"16",191.455
A_SP_CdE_11,"10",1900.000
A_SP_CdE_11,"10",37.857
A_SP_CdE_11,"15",2153.235
A_SP_CdE_11,"21",181156.901
A_SP_CdE_11,"19",3988.380
A_SP_CdE_12,"19",28111.655
A_SP_CdE_12,"19",8000.000
A_SP_CdE_12,"21",70362.271
A_SP_CdE_12,"20",70935.296
A_SP_CdE_12,"19",15726.400
A_SP_CdE_1,"2",0.524
A_SP_CdE_1,"17",4080.839
A_SP_CdE_1,"17",0.974
A_SP_CdE_1,"17",0.171
A_SP_CdE_1,"15",2623.982
A_SP_CdE_1,"7",100.000
A_SP_CdE_1,"17",200.000
A_SP_CdE_1,"15",2890.480
A_SP_CdE_1,"7",15352.339
A_SP_CdE_1,"15",600.000
A_SP_CdE_1,"17",200.000
A_SP_CdE_1,"17",200.000
A_SP_CdE_1,"15",300.000
A_SP_CdE_1,"15",100.000
A_SP_CdE_1,"17",100.000
A_SP_CdE_1,"17",2573.549
A_SP_CdE_1,"16",5500.000
A_SP_CdE_1,"17",2100.000
A_SP_CdE_1,"15",200.000
A_SP_CdE_1,"15",800.000
A_SP_CdE_1,"16",1200.000
A_SP_CdE_1,"16",100.000
A_SP_CdE_1,"15",7100.000
A_SP_CdE_1,"7",8100.000
A_SP_CdE_1,"16",900.000
A_SP_CdE_1,"17",2300.000
A_SP_CdE_1,"16",400.000
A_SP_CdE_1,"17",4100.000
A_SP_CdE_1,"15",100.000
A_SP_CdE_1,"16",100.000
A_SP_CdE_1,"16",1300.000
A_SP_CdE_1,"16",100.000
A_SP_CdE_1,"15",100.000
A_SP_CdE_1,"16",100.000
A_SP_CdE_1,"16",100.000
A_SP_CdE_1,"15",200.000
A_SP_CdE_1,"16",300.000
A_SP_CdE_1,"17",100.000
A_SP_CdE_1,"24",9745.857
A_SP_CdE_1,"24",100.000
A_SP_CdE_1,"17",100.000
A_SP_CdE_1,"16",100.000
A_SP_CdE_1,"17",100.000
A_SP_CdE_1,"14",100.000
A_SP_CdE_1,"16",100.000
A_SP_CdE_1,"16",100.000
A_SP_CdE_1,"14",1042.327
A_SP_CdE_1,"15",3500.000
A_SP_CdE_1,"24",1000.000
A_SP_CdE_1,"17",400.000
A_SP_CdE_1,"17",200.000
A_SP_CdE_1,"17",100.000
A_SP_CdE_1,"17",1238.422
A_SP_CdE_1,"7",13461.834
A_SP_CdE_1,"5",71392.751
A_SP_CdE_1,"2",25731.573
A_SP_CdE_13,"7",385.365
A_SP_CdE_13,"6",1086.586
A_SP_CdE_13,"7",400.000
A_SP_CdE_13,"7",100.000
A_SP_CdE_13,"7",1700.000
A_SP_CdE_13,"9",333.042
A_SP_CdE_13,"4",2363.931
A_SP_CdE_13,"9",1600.000
A_SP_CdE_13,"5",67584.465
A_SP_CdE_13,"23",100.000
A_SP_CdE_13,"23",700.000
A_SP_CdE_13,"23",200.000
A_SP_CdE_13,"23",200.000
A_SP_CdE_13,"20",79226.878
A_SP_CdE_13,"7",33917.816
A_SP_CdE_13,"19",3237.538
